,yelp_id,yelp_name,yelp_review_count,yelp_rating,yelp_address,latitude,longitude,citibike_id
101,,,,,,49.258819,49.258819,2ca388bba54706770900ca2a9d7aa5be
102,,,,,,49.280284,49.280284,e7bf01431a6982f032996ad50a9e5bd7
103,,,,,,49.276294,49.276294,1648ead5ea617d2cea115869d9516f5e
104,,,,,,49.277469,49.277469,91035fe1d70b65c9cb8ec4a007af7c7f
105,,,,,,49.277665,49.277665,d3aaff4414a8c3fd5480c470f77ff68a
106,,,,,,49.277436,49.277436,b307709b305dd04328fbbf2c6db86419
107,,,,,,49.280332,49.280332,e9c4bd1fffbb1e5b058b8ea15f7307f6
108,,,,,,49.279369,49.279369,bb0847559ce71c93d8215c0997ea2811
109,,,,,,49.283992,49.283992,1ef5c4ff3f0b09422bb1597fd9d7568b
110,,,,,,49.274881,49.274881,ac3b8198f03754a0afb8b6ed6d220cdd
111,,,,,,49.275882,49.275882,029a505bd4422a1afd127987757f71a6
112,,,,,,49.273777,49.273777,0459b7e93703980b853cd65a9dc60596
113,,,,,,49.265005,49.265005,a21f40838346e300063bdda3c5c04105
114,,,,,,49.271377,49.271377,6b1622540fe5c85d365754dd8c20bf0c
115,,,,,,49.268616,49.268616,ebc551adb0fc1a684f4080e4954a9ba4
116,,,,,,49.266969,49.266969,6eaa02e5bcf78db5386683d38fa2dabd
117,,,,,,49.263242,49.263242,983e58671adcc67af94457d7887dbb15
118,,,,,,49.261403,49.261403,797ff1725f8d2b18337de51e240ff60d
119,,,,,,49.261263,49.261263,277b4b4881bdb7dac73012672179def8
120,,,,,,49.262242,49.262242,e1ff428dadc7c32141b9d89a7b56728a
121,,,,,,49.262321,49.262321,012d3e06901cc222b1c2cf0a2ace3a29
122,,,,,,49.264251,49.264251,a6455af6b689bcbad07ae2c8a3419b50
123,,,,,,49.266751,49.266751,475627e149c1a6ba73caac8d8d2fa617
124,,,,,,49.270684,49.270684,f387ec226c432c5c054e3d3616d90501
125,,,,,,49.2731,49.2731,1675a77b9af656faf527b4e6de53e63b
126,,,,,,49.254667,49.254667,1bca0e944a4faf170db82793414b03ab
127,,,,,,49.256694,49.256694,d0782213f003ce9eb276fbceff44f1f4
128,,,,,,49.258352,49.258352,1ef01f2f89621d51afbabaa6296e55be
129,,,,,,49.258817,49.258817,c47a1f62ea461ce1c9f3e2478c657df6
130,,,,,,49.26151,49.26151,0cee06d7d10f7d3162cea03d22b7beed
131,,,,,,49.263382,49.263382,f62bc2bfe9a0a563d5b6745ce6d962ba
132,,,,,,49.261353,49.261353,1c8f7fd6535db12cc45cfc59aa9da058
133,,,,,,49.264466,49.264466,17a3320a52bcc62161908967f8a06613
134,,,,,,49.280197,49.280197,aed214941445e0345aa3254805a9e8b8
135,,,,,,49.266725,49.266725,d67640af1b3b3b3ce47169dbc9182470
136,,,,,,49.261188,49.261188,b2c6aaf2b4fa8937bfe3941c038683aa
137,,,,,,49.256857,49.256857,0a43242bee10cd33f539af2c1bf5ecbf
138,,,,,,49.283986,49.283986,198810b9b0af5d229d1b6fa12c620e06
